user.id,Party,weight
779692264830435328,Linke,0
784115837779185664,Neutral,0
784903714045829121,Neutral,-6
785448219463516160,Neutral,0
791987183863336960,Neutral,-1
793194472821690368,Neutral,0
796633003275538432,Neutral,-1
801836974285922305,Neutral,-3
803726940301627393,Linke,0
805053174621073408,Grüne,0
805487877639507968,Linke,0
808725472553168897,Neutral,0
810900348214841348,Linke,-1
811194405927452672,Neutral,-1
811544284344315909,Neutral,0
813320338398441472,Neutral,0
814443194708541440,Neutral,-1
814714398694588416,Neutral,-1
815905912787468290,Neutral,-1
817762065356099586,Grüne,-1
818938737564454913,Neutral,0
820930736341610496,Neutral,0
821638018532593664,Linke,0
823422075419377665,Neutral,0
823526873326120961,Linke,0
824156350439628801,Linke,0
824156350439628801,Neutral,0
824735617129021440,Neutral,-2
824918173896015872,Neutral,-1
825487588832198662,Neutral,0
826051268812611584,Neutral,-7
827880619040464897,Neutral,0
828361226497429505,Grüne,-1
829840677966118912,Grüne,-1
830708129448984576,Neutral,-1
831965365026615297,Neutral,0
836338243364876290,Neutral,0
837423234995924996,Grüne,1
838116062776406016,Neutral,0
838324843825213440,Neutral,0
841039692514631680,Neutral,0
841768687245918208,Neutral,0
856587551112650753,Neutral,-1
857604038606688256,Linke,0
862025574344249345,Neutral,-4
864983682196676608,Neutral,0
866017427452301312,Grüne,-1
866030118648639488,Neutral,0
867415307454959620,SPD,0
870007425281253376,Neutral,0
870391831430868995,Neutral,0
871275371177664512,Neutral,-1
871334212556783618,Neutral,0
871374295309725696,Neutral,0
871731778620411904,Neutral,0
871827136990019584,Grüne,-1
873087474364329986,Grüne,0
873087474364329986,Neutral,0
877083027704295426,Linke,0
881166736766238720,FDP,0
881502915122397184,Neutral,0
881564226208378880,Linke,0
883035036727029761,Neutral,0
883308613581852674,Linke,0
883710749230714880,Neutral,0
883959681538035712,Linke,0
884396223083536384,FDP,-1
885035508795047936,Neutral,0
886576112532418560,Neutral,0
888134220991913984,Neutral,-1
891358444086841345,Linke,0
892319704089587713,Linke,0
892809359834533888,Neutral,-3
892876234543308800,Neutral,0
892905106936672256,FDP,-1
